name,entry_type,category,status,expected_type,default,values_constraints,canonical_field_target,aliases,effect_role,remarks,sources,source_inventory
DUMP_ROLE_FILTER,param_or_script_alias,Alias script,ajout 0314,all|fluid,fluid dans scripts visual 0309+,,,,Alias exporté par les scripts vers dumpRoleFilter.,"Paramètre de script, pas toujours une clé directe.",,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
SUMMARY_ROLE_FILTER,param_or_script_alias,Alias script,ajout 0314,all|fluid,fluid dans scripts visual 0309+,,,,Alias exporté par les scripts vers summaryRoleFilter.,"Paramètre de script, pas toujours une clé directe.",,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
BIN,param_or_script_alias,Alias script / binaire,mis à jour 0337 livevis,chemin exécutable,build/src_mpcd_base_cuda_livevis_0337d dans scripts 0337,,,,Binaire exécuté par les scripts portables livevis.,Peut être surchargé pour tester un autre build; les scripts livevis nécessitent un binaire compilé avec MPCD_ENABLE_LIVE_VIS=1.,,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
AUTO_BUILD,param_or_script_alias,Alias script / build,mis à jour 0337 livevis,booléen,1,,,,Autorise le script à compiler automatiquement le binaire manquant.,"Dans les scripts livevis, le build automatique passe MPCD_ENABLE_LIVE_VIS=1.",,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
RUN_MODES,param_or_script_alias,Alias script / cas de run,existant; utilisé scripts portables,liste: classic resampling,resampling ou classic resampling selon script,,,,Choisit les modes exécutés par les scripts portables.,Peut lancer classic et resampling pour comparaison visuelle.,,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
LIVE_VIS_ALPHA,param_or_script_alias,Alias script livevis 0337,ajout 0337,double,0.08,,,,Lissage temporel visuel.,Principalement utile au fallback CPU.,,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
LIVE_VIS_CLIP,param_or_script_alias,Alias script livevis 0337,ajout 0337,double; <=0 auto,-1,,,,Échelle de saturation couleur.,Exemples: ux clip 0.2–0.5; vorticity clip 5–20 selon cas. | 0341b/0341d: sert aussi à initialiser le fichier livevis_control.kv généré par les scripts.,scripts/run_portable_*0337_livevis*.sh,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
LIVE_VIS_CUDA_FIELD,param_or_script_alias,Alias script livevis 0337,ajout 0337a,booléen,1,,,,Active le renderer CUDA de champ.,Mode recommandé par défaut pour classic et resampling livevis. | 0339a: Défaut conservé : renderer CUDA field actif.,,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
LIVE_VIS_CUDA_SNAPSHOT,param_or_script_alias,Alias script livevis 0337,ajout 0336/0337,booléen,0,,,,Active le snapshot compact expérimental.,Non fiable après resampling; garder à 0 sauf diagnostic.,,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
LIVE_VIS_ENABLE,param_or_script_alias,Alias script livevis 0337,ajout 0337,booléen,1,,,,Active la visualisation dans les scripts portables livevis.,Exporté vers SRC_LIVE_VIS_ENABLE. Mettre 0 pour exécuter sans fenêtre.,,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
LIVE_VIS_EVERY,param_or_script_alias,Alias script livevis 0337,ajout 0337 | mis à jour 0339a,entier >0,25,,,,Cadence de visualisation live : une frame toutes les N étapes.,"Exporté vers SRC_LIVE_VIS_EVERY. | 0339a: défaut réduit à 25 pour limiter le coût livevis; mesures indicatives 500 steps: every1≈45.4s, every25≈32.8–38.7s selon bruit. Override possible par environnement.",,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
LIVE_VIS_FIELD,param_or_script_alias,Alias script livevis 0337,ajout 0337,ux|uy|speed|vorticity|mass|density,dépend du script,,,,Champ affiché par défaut dans la fenêtre live.,"Par défaut: VK/TG=vorticity, Poiseuille=ux, backward-step/box=speed. | 0341b/0341d: sert aussi à initialiser le fichier livevis_control.kv généré par les scripts.",scripts/run_portable_*0337_livevis*.sh,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
LIVE_VIS_FORCE_HOST_MIRROR,param_or_script_alias,Alias script livevis 0337,ajout 0335c,booléen,0,,,,Force le miroir hôte pour visualisation.,Debug seulement. | 0339a: Défaut conservé : éviter le host mirror forcé livevis.,,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
LIVE_VIS_GAIN,param_or_script_alias,Alias script livevis 0337,ajout 0337,double >0,1.0,,,,Gain couleur.,Réduire si la colormap est saturée; augmenter si le contraste est faible. | 0341b/0341d: sert aussi à initialiser le fichier livevis_control.kv généré par les scripts.,scripts/run_portable_*0337_livevis*.sh,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
LIVE_VIS_LOG_SOURCE,param_or_script_alias,Alias script livevis 0337,ajout 0337d | mis à jour 0339a,booléen,0,,,,Contrôle le log de source/fallback livevis.,Exporté vers SRC_LIVE_VIS_LOG_SOURCE; depuis 0337d ne spamme plus le terminal. | 0339a: défaut réduit à 0 pour éviter le bruit de logs; remettre à 1 pour debug.,,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
LIVE_VIS_NX,param_or_script_alias,Alias script livevis 0337,ajout 0337,entier,300,,,,Résolution x du champ livevis.,Exporté vers SRC_LIVE_VIS_NX.,,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
LIVE_VIS_NY,param_or_script_alias,Alias script livevis 0337,ajout 0337,entier,80,,,,Résolution y du champ livevis.,Exporté vers SRC_LIVE_VIS_NY.,,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
LIVE_VIS_QUANTILE,param_or_script_alias,Alias script livevis 0337,ajout 0337,"double dans (0,1]",0.995,,,,Quantile auto de mise à l’échelle.,Limiter les outliers dans le fallback CPU.,,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
LIVE_VIS_RESAMPLING_HOST_MIRROR,param_or_script_alias,Alias script livevis 0337,ajout 0335d/0337,booléen,0,,,,Force le fallback hôte en resampling.,Fiable mais lent; garder à 0 avec CUDA_FIELD=1. | 0339a: Défaut conservé : éviter le host mirror resampling livevis.,,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
LIVE_VIS_SMOOTH_PASSES,param_or_script_alias,Alias script livevis 0337,ajout 0337,entier >=0,1,,,,Lissage spatial du rendu.,Vorticity utilise souvent 1–2 passes. | 0341b/0341d: sert aussi à initialiser le fichier livevis_control.kv généré par les scripts.,scripts/run_portable_*0337_livevis*.sh,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
LIVE_VIS_VSYNC,param_or_script_alias,Alias script livevis 0337,ajout 0337,booléen/int,0,,,,Vsync GLFW.,0 recommandé pour ne pas brider le calcul.,,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
LIVE_VIS_WINDOW_SCALE,param_or_script_alias,Alias script livevis 0337,ajout 0337,entier >=1,1,,,,Facteur d’échelle de la fenêtre.,N’affecte pas la simulation.,,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
LIVE_VIS_COLORMAP,param_or_script_alias,Alias script livevis colormap,ajout 0342a,enum: blue_red | gray | thermal,blue_red,,,,Colormap initial exporté en SRC_LIVE_VIS_COLORMAP et écrit dans le fichier livevis_control.kv créé par les scripts.,Peut ensuite être changé à chaud via la clé colormap du fichier de contrôle.,scripts/run_portable_*0337_livevis*.sh; doc/livevis_colormap_control_0342a.md,src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
LIVE_VIS_QUIVER_MIN_SPEED,param_or_script_alias,Alias script livevis quiver,ajout 0364,double >= 0,0,,,,Alias script exportable vers SRC_LIVE_VIS_QUIVER_MIN_SPEED.,,src/live_visualization_0335.cpp; src/cuda_live_field_0337.cu; include/cuda_live_field_0337.h; src/main_src_mpcd_base.cpp; doc/livevis_field_N_0361.md; doc/livevis_field_minmax_0363.md; doc/livevis_quiver_overlay_0364.md; doc/livevis_quiver_smoothing_0365.md,session_0361_0365_livevis
LIVE_VIS_QUIVER_NX,param_or_script_alias,Alias script livevis quiver,ajout 0364,entier >= 1,60,,,,Alias script exportable vers SRC_LIVE_VIS_QUIVER_NX.,,src/live_visualization_0335.cpp; src/cuda_live_field_0337.cu; include/cuda_live_field_0337.h; src/main_src_mpcd_base.cpp; doc/livevis_field_N_0361.md; doc/livevis_field_minmax_0363.md; doc/livevis_quiver_overlay_0364.md; doc/livevis_quiver_smoothing_0365.md,session_0361_0365_livevis
LIVE_VIS_QUIVER_NY,param_or_script_alias,Alias script livevis quiver,ajout 0364,entier >= 1,32,,,,Alias script exportable vers SRC_LIVE_VIS_QUIVER_NY.,,src/live_visualization_0335.cpp; src/cuda_live_field_0337.cu; include/cuda_live_field_0337.h; src/main_src_mpcd_base.cpp; doc/livevis_field_N_0361.md; doc/livevis_field_minmax_0363.md; doc/livevis_quiver_overlay_0364.md; doc/livevis_quiver_smoothing_0365.md,session_0361_0365_livevis
LIVE_VIS_QUIVER_SCALE,param_or_script_alias,Alias script livevis quiver,ajout 0364,double,-1,,,,Alias script exportable vers SRC_LIVE_VIS_QUIVER_SCALE.,<0 désactive l’overlay.,src/live_visualization_0335.cpp; src/cuda_live_field_0337.cu; include/cuda_live_field_0337.h; src/main_src_mpcd_base.cpp; doc/livevis_field_N_0361.md; doc/livevis_field_minmax_0363.md; doc/livevis_quiver_overlay_0364.md; doc/livevis_quiver_smoothing_0365.md,session_0361_0365_livevis
LIVE_VIS_QUIVER_SMOOTH_PASSES,param_or_script_alias,Alias script livevis quiver,ajout 0365,entier; -1 ou >=0,-1,,,,Alias script exportable vers SRC_LIVE_VIS_QUIVER_SMOOTH_PASSES.,<0 réutilise smoothPasses.,src/live_visualization_0335.cpp; src/cuda_live_field_0337.cu; include/cuda_live_field_0337.h; src/main_src_mpcd_base.cpp; doc/livevis_field_N_0361.md; doc/livevis_field_minmax_0363.md; doc/livevis_quiver_overlay_0364.md; doc/livevis_quiver_smoothing_0365.md,session_0361_0365_livevis
LIVE_VIS_CONTROL_BASENAME,param_or_script_alias,Alias script livevis runtime control,ajout 0341d,nom de fichier,livevis_control.kv,,,,"Nom du fichier utilisé avec LIVE_VIS_CONTROL_DIR ou, par défaut, dans le run_root.","Permet de distinguer plusieurs contrôles, par exemple vk_io.kv, tg_hole.kv, poiseuille.kv.",scripts/run_portable_*0337_livevis*.sh; doc/livevis_runtime_control_0341b_scripts.md,src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
LIVE_VIS_CONTROL_DIR,param_or_script_alias,Alias script livevis runtime control,ajout 0341d,chemin répertoire,vide,,,,Répertoire dans lequel créer le fichier de contrôle lorsque LIVE_VIS_CONTROL_FILE est vide.,Combiné avec LIVE_VIS_CONTROL_BASENAME. Exemple: LIVE_VIS_CONTROL_DIR=. LIVE_VIS_CONTROL_BASENAME=livevis_control.kv.,scripts/run_portable_*0337_livevis*.sh; doc/livevis_runtime_control_0341b_scripts.md,src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
LIVE_VIS_CONTROL_ENABLE,param_or_script_alias,Alias script livevis runtime control,ajout 0341b; export explicite 0341c,booléen shell,1,,,,Active la création/export du fichier de contrôle livevis dans les scripts portables.,"À 0, aucun fichier de contrôle n’est préparé et SRC_LIVE_VIS_CONTROL_FILE peut rester vide.",scripts/run_portable_*0337_livevis*.sh; doc/livevis_runtime_control_0341b_scripts.md,src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
LIVE_VIS_CONTROL_EVERY,param_or_script_alias,Alias script livevis runtime control,ajout 0341b; export explicite 0341c,entier >= 1,1,,,,Valeur script exportée en SRC_LIVE_VIS_CONTROL_EVERY.,Contrôle la fréquence de relecture côté binaire.,scripts/run_portable_*0337_livevis*.sh,src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
LIVE_VIS_CONTROL_FILE,param_or_script_alias,Alias script livevis runtime control,ajout 0341b; clarifié 0341d,chemin fichier .kv,vide,,,,Chemin explicite du fichier de contrôle livevis. Prioritaire sur LIVE_VIS_CONTROL_DIR et le chemin par défaut run_root.,"Utiliser ce paramètre, et non LIVE_VIS_CONTROL_FILE_EFFECTIVE, pour imposer un fichier tel que ./livevis_control.kv. Recommandé si CLEAN_RUN_ROOT=1 et que l’on veut un fichier persistant hors run_root.",scripts/run_portable_*0337_livevis*.sh; doc/livevis_runtime_control_0341b_scripts.md,src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
LIVE_VIS_CONTROL_LOG,param_or_script_alias,Alias script livevis runtime control,ajout 0341b; export explicite 0341c,booléen shell,1,,,,Valeur script exportée en SRC_LIVE_VIS_CONTROL_LOG.,Les logs livevis sont dans le .time car le stderr du binaire y est redirigé par le script.,scripts/run_portable_*0337_livevis*.sh,src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
LIVE_VIS_CONTROL_FILE_EFFECTIVE,param_or_script_alias,Alias script livevis runtime control interne,ajout 0341b; export explicite 0341c; clarifié 0341d,chemin fichier .kv résolu,résolu automatiquement,,,,Chemin effectivement transmis au binaire via SRC_LIVE_VIS_CONTROL_FILE.,"Variable interne/résolue: ne pas la fixer manuellement. Ordre de résolution 0341d: LIVE_VIS_CONTROL_FILE, sinon LIVE_VIS_CONTROL_DIR+LIVE_VIS_CONTROL_BASENAME, sinon run_root/LIVE_VIS_CONTROL_BASENAME.",scripts/run_portable_*0337_livevis*.sh; doc/livevis_runtime_control_0341b_scripts.md,src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
INACTIVE_SLOTS_RESAMPLING,param_or_script_alias,Alias script livevis/benchmark,confirmé 0337,entier,750000 pour certains scripts,,,,Nombre de slots inactifs pour les cas resampling.,N’affecte pas le SRC classic si RUN_MODES=classic; utile pour réservoir resampling.,,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
INACTIVE_SLOTS,param_or_script_alias,Capacité particulaire,consolidé 0311-0312,entier,50k-120k selon cas; pas de défaut universel,,,,Nombre de slots Inactive préalloués par les générateurs/scripts.,La réserve peut être grande sans être écrite dans les dumps si dumpRoleFilter=fluid.,,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
dumpRoleFilter,param_or_script_alias,Dumps et post-traitement,ajout 0314,all|fluid,all dans le cœur; fluid dans scripts visuels,,,,Contrôle si les dumps .smpcd écrivent tous les slots ou seulement les particules Fluid.,fluid accélère visualisation/post-traitement mais ne doit pas être utilisé pour un restart complet.,,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
summaryRoleFilter,param_or_script_alias,Summaries runtime,ajout 0314,all|fluid,all dans le cœur; fluid dans scripts visuels,,,,Contrôle si les summaries parcourent tous les slots ou un état compact fluide.,fluid réduit le coût lorsque INACTIVE_SLOTS est grand.,,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
srcClassicCudaModeEnable,params_canonical_field,CUDA — mode SRC classic,existant catalogue 0292,booléen,false,booléen: true/1/yes/on ou false/0/no/off,srcClassicCudaModeEnable,classicSrcCudaModeEnable; classicSrcModeEnable; classicSrcCudaMode,"Sélecteur .kv du chemin SRC/MPCD classic, séparé de la fermeture liquide.",Force le mode SRC classic complet: advection/streaming + shift + collision/rotation + thermostat. Court-circuite les fermetures Q6/resampling/viriel dans le driver; à utiliser pour les démos/validations classic CUDA 0275–0286.,simulation_params.h; params_io_base.cpp; doc/GPU_SRC_CLASSIC_CUDA_STATUS_0286.md,src_mpcd_params_catalogue_0292_cuda.csv
bcBottom,params_canonical_field,Conditions limites,existant catalogue 0292,enum string,periodic,periodic; solid; specular; bounceback; inlet/input; outlet/output/open,bcBottom,boundaryBottom,Mode de condition limite sur la face basse.,Les périodiques doivent être appariés bas/haut.,simulation_params.h; params_io_base.cpp,src_mpcd_params_catalogue_0292_cuda.csv
bcLeft,params_canonical_field,Conditions limites,existant catalogue 0292,enum string,periodic,periodic; solid; specular; bounceback; inlet/input; outlet/output/open,bcLeft,boundaryLeft,Mode de condition limite sur la face gauche.,Les périodiques doivent être appariés gauche/droite.,simulation_params.h; params_io_base.cpp,src_mpcd_params_catalogue_0292_cuda.csv
bcRight,params_canonical_field,Conditions limites,existant catalogue 0292,enum string,periodic,periodic; solid; specular; bounceback; inlet/input; outlet/output/open,bcRight,boundaryRight,Mode de condition limite sur la face droite.,Les périodiques doivent être appariés gauche/droite.,simulation_params.h; params_io_base.cpp,src_mpcd_params_catalogue_0292_cuda.csv
bcTop,params_canonical_field,Conditions limites,existant catalogue 0292,enum string,periodic,periodic; solid; specular; bounceback; inlet/input; outlet/output/open,bcTop,boundaryTop,Mode de condition limite sur la face haute.,Les périodiques doivent être appariés bas/haut.,simulation_params.h; params_io_base.cpp,src_mpcd_params_catalogue_0292_cuda.csv
bcX,params_canonical_field,Conditions limites,existant catalogue 0292,enum string,(non stocké),periodic; solid; specular; bounceback; inlet/input; outlet/output/open,bcX,,Définit simultanément les modes gauche et droit.,"Alias de paire; appliqué à bcLeft et bcRight, puis les clés par face peuvent surcharger.",simulation_params.h; params_io_base.cpp,src_mpcd_params_catalogue_0292_cuda.csv
bcY,params_canonical_field,Conditions limites,existant catalogue 0292,enum string,(non stocké),periodic; solid; specular; bounceback; inlet/input; outlet/output/open,bcY,,Définit simultanément les modes bas et haut.,"Alias de paire; appliqué à bcBottom et bcTop, puis les clés par face peuvent surcharger.",simulation_params.h; params_io_base.cpp,src_mpcd_params_catalogue_0292_cuda.csv
fluidXMax0,params_canonical_field,Domaine actif mobile,existant catalogue 0292,double,-1.0,-1 hérite de Lx; sinon > fluidXMin0 et <= Lx,fluidXMax0,,Borne x maximale initiale du domaine fluide actif.,"Si une frontière x est périodique, le domaine x doit être complet et statique.",simulation_params.h; params_io_base.cpp,src_mpcd_params_catalogue_0292_cuda.csv
fluidXMaxVelocity,params_canonical_field,Domaine actif mobile,existant catalogue 0292,double,0.0,nombre réel fini,fluidXMaxVelocity,,Vitesse imposée de la borne x maximale du domaine actif.,Incompatible avec une paire périodique x si non nul.,simulation_params.h; params_io_base.cpp,src_mpcd_params_catalogue_0292_cuda.csv
fluidXMin0,params_canonical_field,Domaine actif mobile,existant catalogue 0292,double,0.0,">= 0, dans [0,Lx]",fluidXMin0,,Borne x minimale initiale du domaine fluide actif.,Le domaine actif doit rester inclus dans la boîte numérique.,simulation_params.h; params_io_base.cpp,src_mpcd_params_catalogue_0292_cuda.csv
fluidXMinVelocity,params_canonical_field,Domaine actif mobile,existant catalogue 0292,double,0.0,nombre réel fini,fluidXMinVelocity,,Vitesse imposée de la borne x minimale du domaine actif.,Incompatible avec une paire périodique x si non nul.,simulation_params.h; params_io_base.cpp,src_mpcd_params_catalogue_0292_cuda.csv
fluidYMax0,params_canonical_field,Domaine actif mobile,existant catalogue 0292,double,-1.0,-1 hérite de Ly; sinon > fluidYMin0 et <= Ly,fluidYMax0,fluidYTop0,Borne y maximale initiale du domaine fluide actif.,"Si une frontière y est périodique, le domaine y doit être complet et statique.",simulation_params.h; params_io_base.cpp,src_mpcd_params_catalogue_0292_cuda.csv
fluidYMaxVelocity,params_canonical_field,Domaine actif mobile,existant catalogue 0292,double,0.0,nombre réel fini,fluidYMaxVelocity,fluidYTopVelocity,Vitesse imposée de la borne y maximale du domaine actif.,Incompatible avec une paire périodique y si non nul.,simulation_params.h; params_io_base.cpp,src_mpcd_params_catalogue_0292_cuda.csv
fluidYMin0,params_canonical_field,Domaine actif mobile,existant catalogue 0292,double,0.0,">= 0, dans [0,Ly]",fluidYMin0,,Borne y minimale initiale du domaine fluide actif.,Le domaine actif doit rester inclus dans la boîte numérique.,simulation_params.h; params_io_base.cpp,src_mpcd_params_catalogue_0292_cuda.csv
fluidYMinVelocity,params_canonical_field,Domaine actif mobile,existant catalogue 0292,double,0.0,nombre réel fini,fluidYMinVelocity,,Vitesse imposée de la borne y minimale du domaine actif.,Incompatible avec une paire périodique y si non nul.,simulation_params.h; params_io_base.cpp,src_mpcd_params_catalogue_0292_cuda.csv
Lx,params_canonical_field,Domaine et grille,existant catalogue 0292,double,1.0,> 0,Lx,,Longueur du domaine numérique en x.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_catalogue_0292_cuda.csv
Ly,params_canonical_field,Domaine et grille,existant catalogue 0292,double,1.0,> 0,Ly,,Longueur du domaine numérique en y.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_catalogue_0292_cuda.csv
Nx,params_canonical_field,Domaine et grille,existant catalogue 0292,entier,32,> 0,Nx,,Nombre de cellules MPCD/projection en x.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_catalogue_0292_cuda.csv
Ny,params_canonical_field,Domaine et grille,existant catalogue 0292,entier,32,> 0,Ny,,Nombre de cellules MPCD/projection en y.,,simulation_params.h; params_io_base.cpp,src_mpcd_params_catalogue_0292_cuda.csv
inletInjectionMode,params_canonical_field,Entrées/sorties — injection,existant catalogue 0292,enum string,cuda_recycle,cuda_recycle; thin_slab; hard_cell_density; hard_density; hard; cell_density,inletInjectionMode,,Mode historique de réinjection/recyclage des particules à l’entrée.,Validé seulement si une frontière inlet/outlet est présente.,simulation_params.h; params_io_base.cpp,src_mpcd_params_catalogue_0292_cuda.csv
